mode,resolution,tile_size,image_idx,run_idx,elapsed_seconds,status
auto_vehicle_x4,512,512,0,0,3.530390977859497,ok
auto_vehicle_x4,512,512,0,1,3.490159273147583,ok
auto_vehicle_x4,512,512,0,2,3.5541226863861084,ok
auto_vehicle_x4,512,512,1,0,3.5236454010009766,ok
auto_vehicle_x4,512,512,1,1,3.523283004760742,ok
auto_vehicle_x4,512,512,1,2,3.5775959491729736,ok
auto_vehicle_x4,1024,128,0,0,15.307598114013672,ok
auto_vehicle_x4,1024,128,0,1,15.414685726165771,ok
auto_vehicle_x4,1024,128,0,2,15.333592891693115,ok
auto_vehicle_x4,1024,128,1,0,15.398624897003174,ok
auto_vehicle_x4,1024,128,1,1,15.433303356170654,ok
auto_vehicle_x4,1024,128,1,2,15.423800230026245,ok
auto_vehicle_x4,1024,256,0,0,12.921796560287476,ok
auto_vehicle_x4,1024,256,0,1,12.904772520065308,ok
auto_vehicle_x4,1024,256,0,2,12.903915882110596,ok
auto_vehicle_x4,1024,256,1,0,12.949166536331177,ok
auto_vehicle_x4,1024,256,1,1,12.960549592971802,ok
auto_vehicle_x4,1024,256,1,2,12.995875358581543,ok
auto_vehicle_x4,1024,512,0,0,12.045571088790894,ok
auto_vehicle_x4,1024,512,0,1,11.920879125595093,ok
auto_vehicle_x4,1024,512,0,2,11.91773271560669,ok
auto_vehicle_x4,1024,512,1,0,12.090352535247803,ok
auto_vehicle_x4,1024,512,1,1,12.03670072555542,ok
auto_vehicle_x4,1024,512,1,2,12.082298755645752,ok
auto_vehicle_x4,1920,128,0,0,52.09418702125549,ok
auto_vehicle_x4,1920,128,0,1,51.989633083343506,ok
auto_vehicle_x4,1920,128,0,2,51.956058502197266,ok
auto_vehicle_x4,1920,128,1,0,51.97166323661804,ok
auto_vehicle_x4,1920,128,1,1,52.01595425605774,ok
auto_vehicle_x4,1920,128,1,2,52.016902923583984,ok
auto_vehicle_x4,1920,256,0,0,44.2704017162323,ok
auto_vehicle_x4,1920,256,0,1,44.17400646209717,ok
auto_vehicle_x4,1920,256,0,2,44.12797236442566,ok
auto_vehicle_x4,1920,256,1,0,44.174262046813965,ok
auto_vehicle_x4,1920,256,1,1,44.14252519607544,ok
auto_vehicle_x4,1920,256,1,2,44.18279552459717,ok
auto_vehicle_x4,1920,512,0,0,39.361457109451294,ok
auto_vehicle_x4,1920,512,0,1,39.5147705078125,ok
auto_vehicle_x4,1920,512,0,2,39.53450107574463,ok
auto_vehicle_x4,1920,512,1,0,14.5616455078125,ok
auto_vehicle_x4,1920,512,1,1,14.553449630737305,ok
auto_vehicle_x4,1920,512,1,2,14.564828634262085,ok
general_x4plus_gfpgan,512,128,0,0,37.14647150039673,ok
general_x4plus_gfpgan,512,128,0,1,6.721848964691162,ok
general_x4plus_gfpgan,512,128,0,2,6.732293367385864,ok
general_x4plus_gfpgan,512,128,1,0,19.653440475463867,ok
general_x4plus_gfpgan,512,128,1,1,13.465731143951416,ok
general_x4plus_gfpgan,512,128,1,2,13.250255107879639,ok
general_x4plus_gfpgan,512,256,0,0,6.357106685638428,ok
general_x4plus_gfpgan,512,256,0,1,6.284612655639648,ok
general_x4plus_gfpgan,512,256,0,2,6.265674114227295,ok
general_x4plus_gfpgan,512,256,1,0,12.827469825744629,ok
general_x4plus_gfpgan,512,256,1,1,13.018442392349243,ok
general_x4plus_gfpgan,512,256,1,2,12.799512147903442,ok
general_x4plus_gfpgan,512,512,0,0,5.997891187667847,ok
general_x4plus_gfpgan,512,512,0,1,5.8909912109375,ok
general_x4plus_gfpgan,512,512,0,2,5.868853569030762,ok
general_x4plus_gfpgan,512,512,1,0,14.262797594070435,ok
general_x4plus_gfpgan,512,512,1,1,14.400577306747437,ok
general_x4plus_gfpgan,512,512,1,2,14.486332893371582,ok
general_x4plus_gfpgan,1024,128,0,0,38.3252637386322,ok
general_x4plus_gfpgan,1024,128,0,1,32.43130898475647,ok
general_x4plus_gfpgan,1024,128,0,2,30.052587032318115,ok
general_x4plus_gfpgan,1024,128,1,0,,crashed
general_x4plus_gfpgan,1024,128,1,1,,crashed
general_x4plus_gfpgan,1024,128,1,2,,crashed
general_x4plus_gfpgan,1024,256,0,0,26.867390632629395,ok
general_x4plus_gfpgan,1024,256,0,1,26.855243682861328,ok
general_x4plus_gfpgan,1024,256,0,2,26.868913412094116,ok
general_x4plus_gfpgan,1024,256,1,0,,crashed
general_x4plus_gfpgan,1024,256,1,1,,crashed
general_x4plus_gfpgan,1024,256,1,2,,crashed
general_x4plus_gfpgan,1024,512,0,0,13.874382019042969,ok
general_x4plus_gfpgan,1024,512,0,1,13.655312061309814,ok
general_x4plus_gfpgan,1024,512,0,2,13.36721134185791,ok
general_x4plus_gfpgan,1024,512,1,0,9.60418176651001,ok
general_x4plus_gfpgan,1024,512,1,1,9.525242805480957,ok
general_x4plus_gfpgan,1024,512,1,2,9.4370436668396,ok
general_x4plus_gfpgan,1920,128,0,0,53.256853342056274,ok
general_x4plus_gfpgan,1920,128,0,1,53.50812578201294,ok
general_x4plus_gfpgan,1920,128,0,2,53.641977071762085,ok
general_x4plus_gfpgan,1920,128,1,0,53.92938733100891,ok
general_x4plus_gfpgan,1920,128,1,1,53.81250715255737,ok
general_x4plus_gfpgan,1920,128,1,2,53.83780574798584,ok
general_x4plus_gfpgan,1920,256,0,0,46.13061499595642,ok
general_x4plus_gfpgan,1920,256,0,1,46.086143016815186,ok
general_x4plus_gfpgan,1920,256,0,2,45.880818605422974,ok
general_x4plus_gfpgan,1920,256,1,0,45.89871692657471,ok
general_x4plus_gfpgan,1920,256,1,1,45.970510959625244,ok
general_x4plus_gfpgan,1920,256,1,2,46.024566650390625,ok
general_x4plus_gfpgan,1920,512,0,0,40.46751356124878,ok
general_x4plus_gfpgan,1920,512,0,1,40.47566509246826,ok
general_x4plus_gfpgan,1920,512,0,2,40.27800536155701,ok
general_x4plus_gfpgan,1920,512,1,0,14.071508884429932,ok
general_x4plus_gfpgan,1920,512,1,1,14.107282161712646,ok
general_x4plus_gfpgan,1920,512,1,2,14.036072731018066,ok
