image_id,method,scale,psnr,ssim,lpips,elapsed_seconds,status
jxie_flickr8k_4372,bicubic_4x,4,23.61987491539905,0.4634154800229024,0.6311848759651184,0.002253293991088867,ok
jxie_flickr8k_4372,general_x4plus,4,22.576756322724133,0.41666767851116476,0.47154879570007324,0.5108397006988525,ok
jxie_flickr8k_4372,sharp_anime_x4,4,22.10292642321305,0.29919413653970156,0.6387366652488708,0.14871501922607422,ok
jxie_flickr8k_4372,auto_vehicle_x4,4,22.576756322724133,0.41666767851116476,0.47154879570007324,0.5113413333892822,ok
jxie_flickr8k_4372,bicubic_2x,2,27.42752097491975,0.8047634337540804,0.2466331422328949,0.0027801990509033203,ok
jxie_flickr8k_4372,fast_x2,2,24.346563416548122,0.6419751041651535,0.23176108300685883,0.5121498107910156,ok
jxie_flickr8k_4212,bicubic_4x,4,19.634175137062332,0.5469482541678036,0.5153484344482422,0.00223541259765625,ok
jxie_flickr8k_4212,general_x4plus,4,18.79494247895899,0.5120903140136731,0.28408828377723694,0.5121171474456787,ok
jxie_flickr8k_4212,sharp_anime_x4,4,18.18293259650215,0.4795457058858515,0.34533509612083435,0.14858126640319824,ok
jxie_flickr8k_4212,auto_vehicle_x4,4,18.79494247895899,0.5120903140136731,0.28408828377723694,0.5110108852386475,ok
jxie_flickr8k_4212,bicubic_2x,2,24.82311341891855,0.8636136972828717,0.1930742859840393,0.0027952194213867188,ok
jxie_flickr8k_4212,fast_x2,2,22.1553455900781,0.7410660500076713,0.16193705797195435,0.5122225284576416,ok
jxie_flickr8k_4030,bicubic_4x,4,27.16576473854943,0.7615427100566694,0.4285871386528015,0.002229452133178711,ok
jxie_flickr8k_4030,general_x4plus,4,26.645194221265825,0.7295807466104511,0.2822733223438263,0.515861988067627,ok
jxie_flickr8k_4030,sharp_anime_x4,4,25.242689128399533,0.7031222655346538,0.3449276089668274,0.15024852752685547,ok
jxie_flickr8k_4030,auto_vehicle_x4,4,26.645194221265825,0.7295807466104511,0.2822733223438263,0.5139386653900146,ok
jxie_flickr8k_4030,bicubic_2x,2,32.476932505788156,0.9145199158040073,0.16315555572509766,0.002761363983154297,ok
jxie_flickr8k_4030,fast_x2,2,29.676450841883284,0.8133139724579795,0.20306390523910522,0.5176641941070557,ok
